TH 141,A,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,T-TH 0930-1100,CTC 107,"LANOT, BERNADINE IANNE I."
TH 141,B,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,M-W-F 1600-1700,CTC 107,"ACEVEDO, JAIME A."
TH 141,C,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,M-W-F 1100-1200,SEC-A215A,"ACEVEDO, JAIME A."
TH 141,D,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,M-W-F 1500-1600,CTC 105,"ACEVEDO, JAIME A."
TH 141,F,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,T-TH 1100-1230,SOM 111,"GUEVARA, ROBERTO CONRADO O."
TH 141,G,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,T-TH 1230-1400,SOM 111,"GUEVARA, ROBERTO CONRADO O."
TH 141,H,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,M-W-F 1300-1400,BEL-209,"DAGMANG, FERDINAND D."
TH 141,I,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,M-W-F 1400-1500,BEL-310,"DAGMANG, FERDINAND D."
TH 141,J,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,M-W-F 1500-1600,BEL-311,"DAGMANG, FERDINAND D."
TH 141,K,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,T-TH 1700-1830,K-301,"LAGUNZAD, MA. AIRA N."
TH 141,L,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,T-TH 0800-0930,SOM 204,"LIBERATORE, MICHAEL J."
TH 141,M,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,T-TH 1100-1230,G-303,"LIBERATORE, MICHAEL J."
TH 141,N,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,T-TH 1230-1400,G-303,"LIBERATORE, MICHAEL J."
TH 141,O,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,T-TH 1530-1700,CTC 408,"LIBERATORE, MICHAEL J."
TH 141,P,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,T-TH 0930-1100,CTC 406,"MENDOZA, RUBEN C."
TH 141,Q,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,T-TH 1530-1700,B-105,"ZISELSBERGER, FR. GEORG"
TH 141,R,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,T-TH 1700-1830,B-103,"ZISELSBERGER, FR. GEORG"
TH 141,S,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,T-TH 1830-2000,B-106,"ZISELSBERGER, FR. GEORG"
TH 141,T,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,M-W-F 0900-1000,CTC 118,"MENDOZA, RUBEN C."
TH 141,U,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,M-W-F 1000-1100,CTC 118,"MENDOZA, RUBEN C."
TH 141,V,A THEOLOGY OF THE CATHOLIC SOCIAL VISION,3,M-W-F 1400-1500,SOM 205,"MENDOZA, RUBEN C."
,,,,,,
,,,,,,
,,,,,,
PH 103,A,PHILOSOPHY OF RELIGION,3,M-W-F 1400-1500,BEL-213,"STA. MARIA, JOSEPH EMMANUEL D."
PH 103,B,PHILOSOPHY OF RELIGION,3,M-W-F 1500-1600,BEL-213,"STA. MARIA, JOSEPH EMMANUEL D."
PH 103,C,PHILOSOPHY OF RELIGION,3,M-W-F 0900-1000,BEL-312,"MIROY, JOVINO G."
PH 103,D,PHILOSOPHY OF RELIGION,3,M-W-F 1000-1100,BEL-312,"MIROY, JOVINO G."
PH 103,E,PHILOSOPHY OF RELIGION,3,M-W-F 1600-1700,BEL-213,"STA. MARIA, JOSEPH EMMANUEL D."
PH 103,F,PHILOSOPHY OF RELIGION,3,M-W-F 1000-1100,SOM 205,"CALANO, MARK JOSEPH T."
PH 103,G,PHILOSOPHY OF RELIGION,3,M-W-F 0800-0900,SEC-A123A,"HEIN, MARTIN P."
PH 103,I,PHILOSOPHY OF RELIGION,3,M-W-F 0900-1000,SEC-A123A,"HEIN, MARTIN P."
PH 103,P,PHILOSOPHY OF RELIGION,3,M-W-F 1200-1300,G-304,"HEIN, MARTIN P."
PH 103,Q,PHILOSOPHY OF RELIGION,3,M-W-F 1400-1500,SOM 302,"HEIN, MARTIN P."
PH 103,R,PHILOSOPHY OF RELIGION,3,M-W-F 1100-1200,SOM 205,"CALANO, MARK JOSEPH T."
PH 103,V,PHILOSOPHY OF RELIGION,3,T-TH 1830-2000,B-104,"SUAREZ, VENUSTO F."
PH 103,Y,PHILOSOPHY OF RELIGION,3,M-W-F 1300-1400,SOM 204,"MIROY, JOVINO G."
PH 103,Z,PHILOSOPHY OF RELIGION,3,M-W-F 1200-1300,SOM 204,"MIROY, JOVINO G."
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
HI 166,C,PHILIPPINE HISTORY,3,T-TH 1230-1400,CTC 105,"YOUNG, STEWART A."
HI 166,F,PHILIPPINE HISTORY,3,T-TH 1230-1400,B-106,"ESTELLA, JANET R."
HI 166,J,PHILIPPINE HISTORY,3,T-TH 0930-1100,B-307,"YOUNG, STEWART A."
HI 166,L,PHILIPPINE HISTORY,3,M-W-F 1300-1400,CTC 301,"ESTELLA, JANET R."
HI 166,N,PHILIPPINE HISTORY,3,M-W-F 0900-1000,F-304,"GENER, VIRGILIO ANGELO G."
HI 166,O,PHILIPPINE HISTORY,3,T-TH 1400-1530,CTC 105,"YOUNG, STEWART A."
HI 166,P,PHILIPPINE HISTORY,3,M-W-F 0900-1000,BEL-311,"MENDOZA, MEYNARDO P."
HI 166,Q,PHILIPPINE HISTORY,3,M-W-F 1000-1100,BEL-311,"MENDOZA, MEYNARDO P."
HI 166,R,PHILIPPINE HISTORY,3,M-W-F 1200-1300,BEL-213,"MENDOZA, MEYNARDO P."
